path,label
..\..\1. Data\data2\cats_and_dogs\cats\cat.0.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.10.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.100.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1000.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1001.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1002.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1003.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1004.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1005.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1006.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1007.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1008.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1009.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.101.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1010.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1011.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1012.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1013.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1014.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1015.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1016.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1017.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1018.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1019.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.102.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1020.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1021.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1022.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1023.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1024.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1025.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1026.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1027.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1028.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1029.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.103.jpg,cats
..\..\1. Data\data2\cats_and_dogs\cats\cat.1030.jpg,cats
